,id,categories,name,price,type,accessories
224,2525274,9;10029,CHAQUETA DE MALLA CERTIFICADA CE EAGLE 115TH ANNIVERSARY BY HARLEY DAVIDSON,0.000000,simple,
225,2525277,9;10027;10029;10056;10000039,CHAQUETA DE MONTAR TEXTIL RESISTENTE AL AGUA BY HARLEY DAVIDSON,0.000000,simple,
226,2525284,9;10029;10030,Legend Leather Jacket,458.020400,simple,
227,2525285,9;10029;10030,Reflective Perforated Leather Jacket,458.020400,simple,
228,2525287,9;10029;10030,Competition III Leather Jacket,533.457600,simple,
229,2525289,9;10029,FXRG® Leather Jacket with Pocket System,0.000001,simple,
230,2525290,9;10029,FXRG®Textile Jacket with Pocket System,589.880000,simple,
231,2525291,9;10029,FXRG® Midweight Leather Jacket,700.503000,simple,
232,2525292,9;10029,FXRG® Rain Jacket,317.919800,simple,
233,2525294,9;10029,Mid-Layers Jacket Liner,106.687400,simple,
234,2525295,9;10029,Mid-Layers Softshell Hooded Jacket Liner,106.687400,simple,
235,2525296,9;10029,Mid-Layers Waterproof Jacket Liner,106.687400,simple,
236,2525297,9;10029,Mid-Layers Fleece Vest Liner,106.180000,simple,
237,2525299,9;10029,Classic Cruiser Mesh Jacket,248.549300,simple,
238,2525300,9;10029,Americana Mesh Jacket,210.150900,simple,
239,2525302,9;10029,Reflective Skull Switchback Jacket,350.251500,simple,
240,2525303,9;10029,Illumination 360° Mesh Jacket,296.361900,simple,
241,2525304,9;10029,Reflective Skull Waterproof Hoodie,172.432300,simple,
242,2525305,9;10029,Bar & Shield Logo Waterproof Hoodie,172.432300,simple,
243,2525306,9;10029,Ride Ready Functional Jacket,149.803200,simple,
244,2525307,9;10029,Incinerator Functional Jacket,188.593000,simple,
245,2525308,9;10029,Classic Cruiser Functional Jacket,188.593000,simple,
246,2525310,9;10029,Nightfall Functional Jacket,210.150900,simple,
247,2525311,9;10029,Classic Functional Jacket,269.427400,simple,
248,2525312,9;10029,Authority Functional Jacket,317.919800,simple,
249,2525313,9;10029,Illumination 360° Functional Jacket,350.251500,simple,
250,2525317,9;10031,Rain Pant,91.608200,simple,
251,2525318,9;10031,Canal Street Rain Suit,132.561000,simple,
252,2525321,9;10031,Americana Rain Suit,242.482600,simple,
253,2525322,9;10031,Reflective Skull Rain Suit,264.030200,simple,
254,93600084,9;10033;10034;10000039,GUANTES  CUERO REAVER GENUINOS HARLEY DAVIDSON,0.000001,simple,
255,93600314,9;10036;10056;10100,TANK S/L FRONT GRAFHIC,33.487769,simple,
256,93600317,9;10036;10056;10100,KNIT L/S SLEEP TEE & PANT,88.001158,simple,
257,93600318,9;10036;10056;10100,TEE L/S TERMAL SLEEP  SHIRT,45.762645,simple,
258,93600319,9;10036;10056;10100,PANT PLAID FLANNEL,45.762645,simple,
259,93600320,9;10036;10056;10100,SHIRT JKT L/S ,117.334876,simple,
260,93600321,9;10036;10040;10056,JKT VINTAGE,176.002314,simple,
261,93600355,9;10034;10056;10000039,FLEECE CLRBLK GRY,88.001158,simple,
262,93604519,9;10034,KNIT 110TH  L/S  CLB BLK,64.540992,simple,
263,93604523,9;10029;10030;10056;10000039,JKT MILITARY  LTHR BLK,497.106942,simple,
264,93604891,9;10029;10034;10056,JACKET PRESTIGE BOMBER NYLON,164.272231,simple,
265,93605270,9;10027;10030;10034;10056;10000039,"JKT-TOP WING,LTHR,BLK",469.033058,simple,
266,93605468,9;10034;10000039;10000040,SHIRT- WOVEN S/S PLD,70.397520,simple,
267,93605469,9;10000039;10000040,SHIRT-L/S  WOVEN PLD,82.132200,simple,
268,93605470,9;10034;10000039;10000040,SHIRT-L/S WOVEN BLK,76.271500,simple,
269,93605471,9;10034;10000039;10000040,SHIRT-L/S WOVEN PLD,82.132200,simple,
